# k	cb	gl	xy
1	0.0369165	0.409233	0.182775
2	0.0348375	0.204917	0.0974422
3	0.0252859	0.172484	0.0654415
4	0.0130963	0.149932	0.0575436
5	0.0098888	0.108048	0.0518673
6	0.00780652	0.0695786	0.0400217
7	0.00203452	0.0224855	0.0139552
8	0.000491848	0.0104355	0.0123487
9	0.000479517	0.0090432	0.00166593
10	0.000118884	0.00206813	0.00088485
11	2.64746e-05	0.00199745	0.000201907
12	1.13676e-16	2.31155e-15	1.12507e-15
13	1.24526e-16	1.57646e-15	6.30728e-16
14	1.52513e-16	1.99408e-15	9.69689e-16
15	3.63054e-16	4.0192e-15	4.65824e-16
