# k	cb	gl	xy
1	0.0223601	0.0357471	0.0295943
2	0.0211008	0.0178998	0.0157776
3	0.0153155	0.0150667	0.0105961
4	0.00793235	0.0130968	0.00931729
5	0.00598958	0.00943813	0.0083982
6	0.00472836	0.0060778	0.00648019
7	0.00123229	0.00196414	0.00225958
8	0.000297909	0.00091156	0.00199946
9	0.000290441	0.000789937	0.000269742
10	7.20074e-05	0.000180654	0.000143272
11	1.60355e-05	0.00017448	3.26923e-05
12	6.88531e-17	2.01917e-16	1.82168e-16
13	7.54248e-17	1.37706e-16	1.02126e-16
14	9.23761e-17	1.74186e-16	1.57009e-16
15	2.19899e-16	3.51083e-16	7.54248e-17
