Time	cb	gl	xy
4.200000000000000000e+02	1.541339996842935767e+00	1.125923396528715870e+01	6.261127177290235046e+00
7.200000000000000000e+02	1.500241624207492297e+00	1.154486868002009636e+01	6.230305835076312526e+00
4.200000000000000000e+02	1.315193439119461516e+00	1.355984869164421802e+01	6.822878263788526354e+00
5.400000000000000000e+02	1.230071432889702221e+00	1.458709763777954471e+01	7.135450422923688585e+00
7.200000000000000000e+02	1.216785627924448221e+00	1.479271868719047944e+01	7.356113967140408327e+00
5.400000000000000000e+02	1.088334915870820208e+00	1.403168332140340802e+01	7.100851206640736102e+00
6.000000000000000000e+02	1.124697900758339753e+00	1.419016667879659366e+01	7.087283539286485023e+00
6.600000000000000000e+02	1.115981229281954201e+00	1.439508300692663134e+01	7.233155507990497668e+00
1.200000000000000000e+02	8.604227839123103072e-01	1.129333765896726227e+01	5.969607222980838124e+00
3.000000000000000000e+02	8.804137167858117063e-01	1.256053771676564246e+01	6.482143983951826449e+00
3.600000000000000000e+02	8.850575764719290639e-01	1.265161357983314083e+01	6.541710531495535719e+00
