Time	cb	gl	xy
0.000000000000000000e+00	2.270013249597595539e+00	2.365673503372764941e+01	1.143774925675694121e+01
1.500000000000000000e+00	2.178903200233360593e+00	2.159151545149106965e+01	1.055215831870151533e+01
3.000000000000000000e+00	2.055836847924837674e+00	1.771253633988971998e+01	8.849295609245910299e+00
4.500000000000000000e+00	2.009861012907934619e+00	1.587364455367053218e+01	8.027562731458225187e+00
6.000000000000000000e+00	1.939052215676035917e+00	1.396009660001304553e+01	7.265283741979490451e+00
7.500000000000000000e+00	1.899433986928189100e+00	1.272710421924636215e+01	6.715454615779085756e+00
9.000000000000000000e+00	1.871997953764960254e+00	1.185432252598568326e+01	6.349725380550340859e+00
1.050000000000000000e+01	1.846167979121162039e+00	1.125959958576799558e+01	6.079495435098133171e+00
1.200000000000000000e+01	1.829351671387154266e+00	1.082984477998354933e+01	5.886804852669989430e+00
1.500000000000000000e+01	1.765124116635020446e+00	9.056265136642903002e+00	5.113567605852267661e+00
1.800000000000000000e+01	1.711336911383297910e+00	7.678682184616357098e+00	4.514239366026480127e+00
2.100000000000000000e+01	1.697963562666372717e+00	7.437237471834227343e+00	4.414078403411127560e+00
2.400000000000000000e+01	1.679249820265175330e+00	7.144691233903572858e+00	4.293129756923374174e+00
2.700000000000000000e+01	1.682530623215580334e+00	7.337575535822259631e+00	4.337952284041604045e+00
3.000000000000000000e+01	1.684214072792128203e+00	7.466183222981751300e+00	4.399393243004913856e+00
3.300000000000000000e+01	1.677226063753187502e+00	7.560876306923235646e+00	4.430257202269618055e+00
3.600000000000000000e+01	1.671045761882882230e+00	7.615727259782807401e+00	4.462402950255752287e+00
3.900000000000000000e+01	1.666634079155904224e+00	7.725051266644167747e+00	4.489581632875840889e+00
4.200000000000000000e+01	1.655329423747628814e+00	7.758476427844827050e+00	4.503303167475411151e+00
4.500000000000000000e+01	1.664334022878876329e+00	7.894862904786265290e+00	4.555807500351537698e+00
4.800000000000000000e+01	1.665761498090671644e+00	7.917388878554067588e+00	4.555097214870420075e+00
5.100000000000000000e+01	1.661337591657228829e+00	8.018778921219364975e+00	4.583107669390698469e+00
5.400000000000000000e+01	1.662448420053713738e+00	8.027827430433651656e+00	4.587871677029679240e+00
5.700000000000000000e+01	1.658560120856556352e+00	8.095453638912271543e+00	4.611154191231096711e+00
6.000000000000000000e+01	1.662462560475448825e+00	8.186841693477717286e+00	4.640380033252873737e+00
6.300000000000000000e+01	1.668681598715320957e+00	8.297865640261575138e+00	4.666165619239913909e+00
6.600000000000000000e+01	1.668948723741617846e+00	8.271209431795277567e+00	4.669642438944439533e+00
6.900000000000000000e+01	1.668000118941048937e+00	8.253579292888833407e+00	4.658246904766430774e+00
7.200000000000000000e+01	1.656650636688255851e+00	8.183724774998353269e+00	4.623884118025926249e+00
7.500000000000000000e+01	1.650411544004665831e+00	8.245567036127511074e+00	4.650560117051551146e+00
7.800000000000000000e+01	1.646812969505242252e+00	8.257893713670060976e+00	4.667913719917592630e+00
8.100000000000000000e+01	1.639002934618193130e+00	8.313656408846160417e+00	4.682961067029124180e+00
