# k	cb	gl	xy
1	0.115386	0.870501	0.413799
2	0.0350763	0.784714	0.295139
3	0.0259995	0.489942	0.165026
4	0.0124751	0.270514	0.108963
5	0.00555554	0.224101	0.0488389
6	0.00471547	0.126953	0.039867
7	0.00435986	0.039641	0.0312386
8	0.00210658	0.0330218	0.0169633
9	0.00139458	0.0156454	0.0152804
10	0.000520292	0.0127219	0.00407295
11	0.000492545	0.00553461	0.00257325
12	0.00012682	0.00210964	0.00257115
13	0.000126247	0.000968372	0.000257209
14	1.1023e-05	0.000747693	0.000215251
15	3.5715e-16	4.43434e-15	2.09105e-15
