# k	cb	gl	xy
1	0.0812004	0.0497145	0.0495093
2	0.0246842	0.0448152	0.0353122
3	0.0182966	0.0279807	0.0197447
4	0.00877912	0.0154491	0.013037
5	0.0039096	0.0127984	0.00584337
6	0.00331842	0.00725032	0.00476992
7	0.00306816	0.0022639	0.00373757
8	0.00148246	0.00188588	0.00202958
9	0.000981408	0.000893515	0.00182824
10	0.000366145	0.000726551	0.000487312
11	0.000346618	0.000316083	0.000307879
12	8.92471e-05	0.000120482	0.000307627
13	8.88435e-05	5.53039e-05	3.0774e-05
14	7.75719e-06	4.27009e-05	2.57539e-05
15	2.51337e-16	2.53246e-16	2.50185e-16
