k 	di 	gli 	gal 	gos3 	 gos4 
1 	0.071730 	0.036662 	0.025339 	0.023604 	 0.003499 
2 	0.057552 	0.027013 	0.019021 	0.014982 	 0.002097 
3 	0.050744 	0.024727 	0.016897 	0.014073 	 0.001640 
4 	0.044117 	0.022975 	0.015421 	0.013709 	 0.001505 
5 	0.039808 	0.022214 	0.014943 	0.013194 	 0.001430 
6 	0.035466 	0.021404 	0.014357 	0.012675 	 0.001392 
7 	0.033395 	0.020901 	0.013938 	0.012433 	 0.001361 
8 	0.031334 	0.020433 	0.013609 	0.012135 	 0.001341 
9 	0.030594 	0.019900 	0.013224 	0.011934 	 0.001307 
10 	0.029820 	0.019433 	0.012879 	0.011730 	 0.001286 
11 	0.028905 	0.019073 	0.012603 	0.011589 	 0.001270 
12 	0.028580 	0.018801 	0.012423 	0.011387 	 0.001250 
13 	0.028205 	0.018625 	0.012300 	0.011265 	 0.001237 
14 	0.027717 	0.018250 	0.012069 	0.011137 	 0.001226 
15 	0.027436 	0.018052 	0.011922 	0.010988 	 0.001210 
16 	0.027043 	0.017817 	0.011763 	0.010913 	 0.001203 
17 	0.026868 	0.017618 	0.011630 	0.010778 	 0.001193 
18 	0.026570 	0.017399 	0.011491 	0.010698 	 0.001182 
19 	0.026458 	0.017344 	0.011456 	0.010651 	 0.001179 
20 	0.026356 	0.017245 	0.011392 	0.010600 	 0.001173 
21 	0.026211 	0.017109 	0.011310 	0.010557 	 0.001166 
22 	0.026148 	0.017053 	0.011257 	0.010517 	 0.001164 
23 	0.026058 	0.017013 	0.011237 	0.010489 	 0.001164 
24 	0.025973 	0.016919 	0.011182 	0.010461 	 0.001161 
25 	0.025919 	0.016948 	0.011180 	0.010454 	 0.001163 
26 	0.025904 	0.016907 	0.011175 	0.010457 	 0.001161 
27 	0.025883 	0.016934 	0.011179 	0.010458 	 0.001163 
28 	0.025861 	0.016917 	0.011176 	0.010460 	 0.001163 
29 	0.025842 	0.016914 	0.011170 	0.010465 	 0.001164 
30 	0.025841 	0.016913 	0.011171 	0.010461 	 0.001165 
31 	0.025829 	0.016910 	0.011162 	0.010464 	 0.001165 
32 	0.025840 	0.016911 	0.011167 	0.010462 	 0.001166 
33 	0.025817 	0.016920 	0.011172 	0.010478 	 0.001168 
34 	0.025826 	0.016934 	0.011179 	0.010489 	 0.001169 
35 	0.025857 	0.016937 	0.011183 	0.010484 	 0.001170 
36 	0.025851 	0.016953 	0.011191 	0.010490 	 0.001171 
37 	0.025850 	0.016954 	0.011194 	0.010500 	 0.001172 
38 	0.025842 	0.016955 	0.011197 	0.010497 	 0.001171 
39 	0.025837 	0.016972 	0.011209 	0.010494 	 0.001172 
40 	0.025825 	0.016978 	0.011210 	0.010507 	 0.001173 
41 	0.025842 	0.016982 	0.011218 	0.010507 	 0.001174 
42 	0.025834 	0.016976 	0.011215 	0.010506 	 0.001173 
43 	0.025802 	0.016967 	0.011203 	0.010506 	 0.001173 
44 	0.025781 	0.016952 	0.011199 	0.010499 	 0.001174 
45 	0.025745 	0.016958 	0.011199 	0.010497 	 0.001175 
46 	0.025717 	0.016950 	0.011191 	0.010498 	 0.001175 
47 	0.025719 	0.016945 	0.011197 	0.010491 	 0.001174 
48 	0.025733 	0.016940 	0.011188 	0.010490 	 0.001175 
49 	0.025716 	0.016934 	0.011186 	0.010488 	 0.001175 
50 	0.025707 	0.016936 	0.011189 	0.010483 	 0.001174 
