di 	gli 	gal 	gos3 	 gos4 
0.294465 	0.013071 	0.009718 	0.011736 	 0.001000 
0.291950 	0.012098 	0.006967 	0.013659 	 0.000801 
0.239181 	0.045488 	0.033834 	0.025893 	 0.001609 
0.241421 	0.033567 	0.025473 	0.021822 	 0.000478 
0.256814 	0.036796 	0.027542 	0.024045 	 0.000861 
0.216949 	0.055260 	0.041157 	0.032151 	 0.001706 
0.251559 	0.046292 	0.032779 	0.030734 	 0.001341 
0.239847 	0.046648 	0.033630 	0.031211 	 0.001423 
0.249165 	0.048265 	0.033840 	0.037259 	 0.002428 
0.238015 	0.049978 	0.037045 	0.028384 	 0.001405 
0.247683 	0.053184 	0.037683 	0.032661 	 0.002228 
0.184436 	0.057257 	0.041972 	0.032541 	 0.001600 
0.219670 	0.058871 	0.043041 	0.035169 	 0.002034 
0.183530 	0.082423 	0.060541 	0.040673 	 0.003795 
0.202070 	0.061768 	0.045079 	0.034694 	 0.002580 
0.199248 	0.061283 	0.044061 	0.037703 	 0.001981 
0.195549 	0.064799 	0.047419 	0.035049 	 0.002042 
0.207654 	0.067112 	0.048627 	0.039652 	 0.002698 
0.200293 	0.071565 	0.051385 	0.041813 	 0.002857 
0.207620 	0.067286 	0.048138 	0.039454 	 0.002825 
0.168906 	0.101202 	0.070291 	0.058754 	 0.004690 
0.210766 	0.056717 	0.042803 	0.028486 	 0.002143 
0.178823 	0.076930 	0.055998 	0.043513 	 0.003339 
0.186319 	0.080891 	0.059267 	0.043709 	 0.003496 
0.219541 	0.059766 	0.042242 	0.040977 	 0.003098 
0.224140 	0.058581 	0.041839 	0.038164 	 0.002841 
0.222924 	0.060761 	0.044121 	0.042345 	 0.003222 
0.169722 	0.071840 	0.051842 	0.039833 	 0.003342 
0.212558 	0.073036 	0.051832 	0.042571 	 0.003377 
0.191013 	0.057507 	0.043519 	0.032091 	 0.002426 
0.168716 	0.082465 	0.059565 	0.043244 	 0.003173 
0.190878 	0.068646 	0.049665 	0.039909 	 0.003211 
0.182293 	0.071444 	0.053017 	0.038524 	 0.002761 
0.209345 	0.064670 	0.047230 	0.035031 	 0.002519 
0.188511 	0.068516 	0.049728 	0.036221 	 0.003060 
0.211527 	0.060655 	0.045227 	0.035101 	 0.002526 
0.215531 	0.049654 	0.037612 	0.028007 	 0.002368 
0.197954 	0.069761 	0.049184 	0.042813 	 0.002657 
0.192151 	0.067991 	0.049123 	0.039271 	 0.002954 
0.174297 	0.090333 	0.063261 	0.048808 	 0.003557 
0.197541 	0.076773 	0.054990 	0.044677 	 0.003289 
0.193680 	0.080805 	0.058308 	0.041127 	 0.003059 
0.175233 	0.080161 	0.056655 	0.047257 	 0.003195 
0.207794 	0.071305 	0.051985 	0.036603 	 0.003212 
0.199502 	0.067006 	0.048337 	0.036167 	 0.002517 
0.191677 	0.076075 	0.054365 	0.043500 	 0.002870 
0.191729 	0.074618 	0.052885 	0.043882 	 0.003519 
0.165881 	0.081158 	0.056523 	0.050413 	 0.003863 
