di 	gli 	gal 	gos3 	 gos4 
0.298003 	0.005910 	0.004703 	0.005815 	 0.000490 
0.312438 	0.006460 	0.002968 	0.012111 	 0.000773 
0.236973 	0.046824 	0.035231 	0.026108 	 0.001661 
0.240309 	0.037289 	0.027267 	0.025147 	 0.000593 
0.240551 	0.046541 	0.034796 	0.028104 	 0.001455 
0.214011 	0.058642 	0.042598 	0.034871 	 0.001810 
0.245381 	0.048517 	0.034913 	0.031048 	 0.001327 
0.243567 	0.049459 	0.035123 	0.034323 	 0.001518 
0.241688 	0.053014 	0.037063 	0.038283 	 0.002292 
0.222940 	0.049523 	0.037221 	0.028620 	 0.001208 
0.252673 	0.055614 	0.039344 	0.035646 	 0.002609 
0.195668 	0.056292 	0.040395 	0.032926 	 0.001485 
0.214518 	0.063914 	0.046316 	0.039462 	 0.002441 
0.187613 	0.080763 	0.059058 	0.042170 	 0.003838 
0.202479 	0.062691 	0.045875 	0.035629 	 0.002908 
0.211582 	0.056967 	0.041370 	0.036103 	 0.001652 
0.180479 	0.072119 	0.052411 	0.038062 	 0.002249 
0.199374 	0.071217 	0.051595 	0.041087 	 0.002806 
0.185222 	0.072663 	0.051884 	0.040154 	 0.002517 
0.208056 	0.064399 	0.046126 	0.036554 	 0.002702 
0.178331 	0.099135 	0.068739 	0.058219 	 0.004264 
0.216471 	0.053125 	0.040344 	0.028518 	 0.002207 
0.170542 	0.084072 	0.060573 	0.045840 	 0.003441 
0.185469 	0.084615 	0.061621 	0.044564 	 0.003775 
0.210017 	0.063708 	0.045750 	0.041341 	 0.002963 
0.218257 	0.061698 	0.043438 	0.039439 	 0.002907 
0.220360 	0.061439 	0.043787 	0.044123 	 0.003130 
0.159440 	0.076295 	0.055124 	0.043001 	 0.003533 
0.217706 	0.076671 	0.054109 	0.045981 	 0.003655 
0.185644 	0.056280 	0.041489 	0.030524 	 0.001993 
0.168946 	0.081387 	0.057817 	0.045344 	 0.003205 
0.187938 	0.068863 	0.049766 	0.039028 	 0.003190 
0.174620 	0.075333 	0.055134 	0.040612 	 0.002970 
0.209387 	0.064486 	0.047112 	0.038453 	 0.002585 
0.192677 	0.070432 	0.050000 	0.038446 	 0.003251 
0.208686 	0.064532 	0.047243 	0.037106 	 0.002719 
0.204637 	0.051566 	0.039165 	0.027946 	 0.002366 
0.185361 	0.079218 	0.055513 	0.048441 	 0.003054 
0.196043 	0.064589 	0.046510 	0.037814 	 0.002820 
0.190306 	0.085091 	0.059706 	0.049852 	 0.003486 
0.193260 	0.078068 	0.055846 	0.044746 	 0.003408 
0.186183 	0.080689 	0.058492 	0.041829 	 0.002959 
0.176325 	0.075561 	0.053190 	0.044474 	 0.002869 
0.205309 	0.069569 	0.050989 	0.036747 	 0.003157 
0.193585 	0.072153 	0.052404 	0.040420 	 0.002764 
0.186375 	0.075167 	0.053875 	0.042505 	 0.002883 
0.198864 	0.073952 	0.052294 	0.044556 	 0.003660 
0.180310 	0.078771 	0.054726 	0.050473 	 0.003904 
0.201420 	0.055900 	0.041822 	0.026853 	 0.001979 
0.135061 	0.083598 	0.061599 	0.038845 	 0.002337 
0.169630 	0.078435 	0.055612 	0.044195 	 0.003194 
0.198137 	0.065226 	0.045683 	0.041020 	 0.002897 
0.189110 	0.074453 	0.053003 	0.042622 	 0.002911 
0.195132 	0.070682 	0.050415 	0.041693 	 0.003191 
0.186642 	0.068952 	0.049863 	0.040332 	 0.002760 
0.199064 	0.063551 	0.045859 	0.037502 	 0.002430 
0.174537 	0.083120 	0.058904 	0.046031 	 0.002825 
0.163596 	0.077823 	0.056396 	0.041475 	 0.003041 
0.160958 	0.085709 	0.062385 	0.041601 	 0.002450 
0.182312 	0.085870 	0.059308 	0.052724 	 0.003385 
0.186270 	0.077237 	0.054214 	0.046420 	 0.003181 
0.169832 	0.080071 	0.057930 	0.043555 	 0.003473 
0.154797 	0.074716 	0.054148 	0.038976 	 0.002610 
0.153744 	0.083871 	0.059471 	0.046187 	 0.003415 
0.132243 	0.082813 	0.060912 	0.039084 	 0.002780 
0.159151 	0.079705 	0.057367 	0.042527 	 0.003891 
0.168545 	0.075656 	0.055272 	0.039140 	 0.003014 
0.175789 	0.073850 	0.052397 	0.041147 	 0.003180 
0.171331 	0.076364 	0.056018 	0.040956 	 0.003153 
0.165254 	0.070877 	0.051758 	0.037856 	 0.002828 
0.151535 	0.081870 	0.058426 	0.044916 	 0.003477 
0.190176 	0.063248 	0.046013 	0.037038 	 0.002634 
0.160166 	0.085830 	0.060108 	0.047303 	 0.003467 
0.192001 	0.077138 	0.054783 	0.043913 	 0.003559 
0.157501 	0.088409 	0.063264 	0.043870 	 0.003801 
0.168554 	0.075763 	0.054448 	0.042674 	 0.002769 
0.177604 	0.074911 	0.054708 	0.038356 	 0.003572 
0.176355 	0.072666 	0.053086 	0.037758 	 0.003229 
0.140856 	0.087797 	0.063852 	0.042600 	 0.003051 
0.154245 	0.082628 	0.060783 	0.038255 	 0.003419 
0.174147 	0.073312 	0.052685 	0.042040 	 0.002881 
0.155504 	0.077276 	0.055556 	0.041700 	 0.003242 
0.150055 	0.089799 	0.064679 	0.046048 	 0.004073 
0.178711 	0.068008 	0.049924 	0.036116 	 0.002788 
0.148810 	0.085205 	0.062522 	0.040708 	 0.003005 
0.142643 	0.076847 	0.057249 	0.033851 	 0.002614 
0.181531 	0.079576 	0.055998 	0.049752 	 0.003465 
0.148923 	0.101917 	0.072241 	0.052578 	 0.003986 
0.187253 	0.077599 	0.055595 	0.043815 	 0.003539 
0.157543 	0.082517 	0.059647 	0.042874 	 0.002524 
0.156951 	0.077829 	0.056681 	0.040411 	 0.002921 
0.146562 	0.085141 	0.061605 	0.042625 	 0.003321 
0.124358 	0.105127 	0.076083 	0.049619 	 0.004447 
0.173283 	0.090327 	0.063335 	0.052259 	 0.003940 
0.129305 	0.107597 	0.076283 	0.056255 	 0.004826 
0.144035 	0.107402 	0.076263 	0.053902 	 0.004643 
0.144264 	0.104946 	0.073251 	0.058142 	 0.004908 
0.172381 	0.067859 	0.051290 	0.032914 	 0.002898 
0.173556 	0.077068 	0.056143 	0.039901 	 0.003652 
0.167196 	0.076063 	0.055180 	0.040111 	 0.003115 
0.164990 	0.077428 	0.057318 	0.034852 	 0.003283 
0.158479 	0.086729 	0.061522 	0.048207 	 0.003380 
0.140322 	0.098532 	0.068763 	0.055886 	 0.004323 
0.160470 	0.086524 	0.063094 	0.041976 	 0.003460 
0.146338 	0.077895 	0.057214 	0.038041 	 0.003234 
0.155757 	0.098524 	0.069362 	0.053278 	 0.004397 
0.165339 	0.091406 	0.065088 	0.048457 	 0.003926 
0.170575 	0.073577 	0.053109 	0.040787 	 0.003530 
0.128258 	0.087490 	0.062295 	0.044546 	 0.003012 
0.152368 	0.087933 	0.063340 	0.044043 	 0.003922 
0.140666 	0.111702 	0.078101 	0.056912 	 0.004538 
0.135157 	0.098187 	0.069996 	0.048401 	 0.004262 
0.121695 	0.087243 	0.065245 	0.035746 	 0.003569 
0.119874 	0.105946 	0.075509 	0.050940 	 0.003837 
0.122481 	0.108495 	0.077320 	0.053803 	 0.004684 
0.108752 	0.102310 	0.074089 	0.048685 	 0.004376 
0.124791 	0.102764 	0.073121 	0.053163 	 0.004145 
0.122613 	0.116059 	0.082414 	0.058754 	 0.004823 
0.162183 	0.088533 	0.063947 	0.045430 	 0.003830 
0.105172 	0.107276 	0.077603 	0.051872 	 0.003675 
0.124304 	0.105924 	0.075918 	0.052000 	 0.004342 
0.135058 	0.089447 	0.065477 	0.038378 	 0.003831 
0.153062 	0.071564 	0.054879 	0.028665 	 0.002672 
