# k	clb	gl	xyl
1	0.0769315	1.976	0.166376
2	0.0723065	1.82321	0.14446
3	0.0698885	1.76904	0.129966
4	0.0522891	1.50692	0.112921
5	0.0426459	1.33711	0.110002
6	0.0354446	1.21443	0.103933
7	0.0254069	1.11479	0.0873201
8	0.0238436	0.848774	0.0822236
9	0.0234948	0.727085	0.0675151
10	0.0126211	0.624972	0.0630621
11	0.0125193	0.402292	0.0456663
12	0.011458	0.315094	0.0356198
13	0.00997831	0.28998	0.0289012
14	0.00979713	0.27434	0.023211
15	0.00917271	0.203372	0.0227935
16	0.00915653	0.164144	0.0193207
17	0.00816946	0.162249	0.0148824
18	0.00703285	0.161979	0.0114932
19	0.00395829	0.159763	0.0114743
20	0.00303057	0.108415	0.00765056
