# k	clb	gl	xyl
1	0.0793143	2.14913	0.176091
2	0.0758421	2.13381	0.153077
3	0.0733061	2.08288	0.144538
4	0.0679831	1.85081	0.141657
5	0.102523	2.23706	0.166193
6	0.106998	2.51855	0.201298
7	0.0989675	3.23287	0.233659
8	0.0655706	1.88753	0.159451
9	0.0715923	2.81506	0.208448
10	0.0753643	2.5158	0.181186
11	0.0795283	2.07288	0.141995
12	0.0598112	2.7964	0.203378
13	0.0710534	2.61833	0.15909
14	0.0684751	2.83636	0.14444
15	0.0546767	2.60209	0.140929
16	0.0580149	2.4749	0.138043
17	0.0600577	2.56008	0.141419
18	0.061344	2.53282	0.14416
19	0.05999	2.51878	0.145849
20	0.058086	2.50686	0.141982
