# di_Meas	di_Pred	gli_Meas	gli_Pred	gal_Meas	gal_Pred
0	0.302042	0	5.09884	0	0.418105
0.29	0.29625	1.25	4.95879	0.15	0.396151
0.3	0.289247	2	4.79073	0.22	0.36928
0.3	0.285914	2.54	4.70913	0.29	0.355948
0.31	0.285316	2.81	4.69326	0.33	0.353633
0.31	0.285197	3.33	4.69104	0.39	0.352958
0.32	0.28838	3.56	4.75135	0.47	0.312774
0.31	0.286108	3.79	4.74181	0.43	0.321419
0.31	0.280147	3.78	4.47627	0.43	0.288334
0.31	0.283347	3.96	4.54492	0.46	0.295102
0.31	0.286754	3.94	4.68164	0.48	0.315221
0.31	0.287696	4.02	4.68098	0.5	0.309463
0.31	0.288161	3.94	4.77875	0.5	0.311185
0.32	0.286237	4.35	4.71283	0.57	0.311408
0.32	0.282291	4.45	4.55379	0.59	0.292235
0.32	0.286483	4.56	4.5878	0.62	0.308367
0.33	0.284762	4.61	4.50226	0.65	0.299325
0.33	0.288909	4.82	4.72022	0.68	0.316735
0.33	0.289689	5.06	4.78681	0.72	0.31589
0.33	0.293188	5.18	4.8294	0.72	0.345474
0.33	0.289763	5.18	4.66	0.71	0.325419
0.33	0.283299	5.28	4.60142	0.72	0.311394
0.33	0.295668	5.37	4.99366	0.74	0.342967
0.33	0.287173	5.33	4.68045	0.72	0.307014
0.33	0.28535	5.33	4.53727	0.72	0.301701
